epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,93.6776,1.0327,0.72984,1.12787,0.98308,0.94305,0.995,0.68332,1.17834,0.64773,1.23268,0.000438703,0.000438703,0.000438703
44,95.1772,1.05509,0.72688,1.11766,0.98302,0.94629,0.995,0.71376,1.11777,0.61811,1.16092,0.000415124,0.000415124,0.000415124
45,97.002,0.98843,0.68357,1.0884,0.96978,0.97192,0.995,0.73051,1.08405,0.58282,1.13011,0.000391546,0.000391546,0.000391546
46,99.368,1.02267,0.71993,1.10878,0.94976,0.97929,0.995,0.7231,1.07355,0.59429,1.15427,0.000367967,0.000367967,0.000367967
47,100.718,0.99148,0.70003,1.10518,0.96128,0.93599,0.995,0.69778,1.08854,0.62218,1.18445,0.000344389,0.000344389,0.000344389
48,102.155,0.97116,0.71399,1.0726,0.96099,0.96282,0.995,0.68935,1.14816,0.60569,1.23181,0.00032081,0.00032081,0.00032081
49,103.579,0.95891,0.66739,1.07681,0.97371,0.96339,0.995,0.68999,1.15902,0.59092,1.23673,0.000297232,0.000297232,0.000297232
50,105.108,0.94964,0.62978,1.06227,0.98908,0.9813,0.995,0.69444,1.13711,0.55218,1.21104,0.000273654,0.000273654,0.000273654
51,108.517,0.91104,0.81148,1.07236,0.9902,0.98745,0.995,0.69056,1.15386,0.55277,1.21085,0.000250075,0.000250075,0.000250075
52,111.044,0.92971,0.74082,1.04427,0.98802,0.99212,0.995,0.6967,1.18102,0.57888,1.22026,0.000226497,0.000226497,0.000226497
53,112.975,0.91997,0.73435,1.04674,0.98381,0.98788,0.995,0.69705,1.17835,0.60634,1.22375,0.000202918,0.000202918,0.000202918
54,114.449,0.93992,0.76828,1.06025,0.96534,0.97918,0.995,0.71227,1.13336,0.65506,1.22724,0.00017934,0.00017934,0.00017934
55,115.872,0.91662,0.75825,1.05302,0.92741,0.97942,0.995,0.69527,1.12925,0.65497,1.24071,0.000155761,0.000155761,0.000155761
56,117.254,0.91124,0.73397,1.04479,0.97751,0.97949,0.995,0.68771,1.13273,0.59398,1.24944,0.000132183,0.000132183,0.000132183
57,118.647,0.88953,0.69812,1.04185,0.98334,0.98103,0.995,0.68384,1.12462,0.57372,1.24218,0.000108604,0.000108604,0.000108604
58,120.077,0.90543,0.70337,1.02929,0.98625,0.98164,0.995,0.68431,1.10975,0.5617,1.22353,8.50255e-05,8.50255e-05,8.50255e-05
59,121.449,0.90313,0.67146,1.04362,0.98126,0.98127,0.995,0.68688,1.11082,0.56101,1.22372,6.1447e-05,6.1447e-05,6.1447e-05
60,123.192,0.87698,0.67589,1.03527,0.96637,0.95396,0.995,0.68991,1.10966,0.57742,1.22277,3.78685e-05,3.78685e-05,3.78685e-05
